tick,day,resident,phrase_key,resident_reply_key,reply_text,schedule_reference,memory_reference,debt_reference,no_llm_call,no_autonomous_language_claim,private_workspace_hidden
0,1,Tovan,ask_schedule,greets_cautiously,Tovan greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:water_carry:d001:s00,water carry,True,True,True
2092,117,Milo,ask_debt,asks_for_space,Milo asks for space; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:water_carry:d117:s04,water carry,True,True,True
2093,117,Sera,thank,thanks_briefly,Sera thanks briefly; phrase=thank; no generated open chat.,recover focus,v60:sera:repair_promise:d117:s05,repair promise,True,True,True
2094,117,Tovan,request_space,greets_cautiously,Tovan greets cautiously; phrase=request_space; no generated open chat.,repair awning,v60:tovan:missed_greeting:d117:s06,missed greeting,True,True,True
2095,117,Nia,greet,accepts_bounded_help,Nia accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:nia:care_favor:d117:s07,care favor,True,True,True
2096,117,Ari,ask_schedule,explains_debt,Ari explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:route_warning:d117:s08,route warning,True,True,True
2097,117,Fay,offer_help,declines_politely,Fay declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:tool_loan:d117:s09,tool loan,True,True,True
2098,117,Milo,apologize,names_current_task,Milo names current task; phrase=apologize; no generated open chat.,map safe route,v60:milo:water_carry:d117:s10,water carry,True,True,True
2099,117,Sera,ask_debt,asks_for_space,Sera asks for space; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:repair_promise:d117:s11,repair promise,True,True,True
2100,117,Tovan,thank,thanks_briefly,Tovan thanks briefly; phrase=thank; no generated open chat.,recover focus,v60:tovan:missed_greeting:d117:s12,missed greeting,True,True,True
2101,117,Nia,request_space,greets_cautiously,Nia greets cautiously; phrase=request_space; no generated open chat.,repair awning,v60:nia:care_favor:d117:s13,care favor,True,True,True
2102,117,Ari,greet,accepts_bounded_help,Ari accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:ari:route_warning:d117:s14,route warning,True,True,True
2103,117,Fay,ask_schedule,explains_debt,Fay explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:tool_loan:d117:s15,tool loan,True,True,True
2104,117,Milo,offer_help,declines_politely,Milo declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:water_carry:d117:s16,water carry,True,True,True
2105,117,Sera,apologize,names_current_task,Sera names current task; phrase=apologize; no generated open chat.,map safe route,v60:sera:repair_promise:d117:s17,repair promise,True,True,True
2106,118,Tovan,thank,declines_politely,Tovan declines politely; phrase=thank; no generated open chat.,recover focus,v60:tovan:care_favor:d118:s00,care favor,True,True,True
2107,118,Nia,request_space,names_current_task,Nia names current task; phrase=request_space; no generated open chat.,repair awning,v60:nia:route_warning:d118:s01,route warning,True,True,True
2108,118,Ari,greet,asks_for_space,Ari asks for space; phrase=greet; no generated open chat.,sort herbs,v60:ari:tool_loan:d118:s02,tool loan,True,True,True
2109,118,Fay,ask_schedule,thanks_briefly,Fay thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:water_carry:d118:s03,water carry,True,True,True
2110,118,Milo,offer_help,greets_cautiously,Milo greets cautiously; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:repair_promise:d118:s04,repair promise,True,True,True
2111,118,Sera,apologize,accepts_bounded_help,Sera accepts bounded help; phrase=apologize; no generated open chat.,map safe route,v60:sera:missed_greeting:d118:s05,missed greeting,True,True,True
2112,118,Tovan,ask_debt,explains_debt,Tovan explains debt; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:care_favor:d118:s06,care favor,True,True,True
2113,118,Nia,thank,declines_politely,Nia declines politely; phrase=thank; no generated open chat.,recover focus,v60:nia:route_warning:d118:s07,route warning,True,True,True
2114,118,Ari,request_space,names_current_task,Ari names current task; phrase=request_space; no generated open chat.,repair awning,v60:ari:tool_loan:d118:s08,tool loan,True,True,True
2115,118,Fay,greet,asks_for_space,Fay asks for space; phrase=greet; no generated open chat.,sort herbs,v60:fay:water_carry:d118:s09,water carry,True,True,True
2116,118,Milo,ask_schedule,thanks_briefly,Milo thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:repair_promise:d118:s10,repair promise,True,True,True
2117,118,Sera,offer_help,greets_cautiously,Sera greets cautiously; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:missed_greeting:d118:s11,missed greeting,True,True,True
2118,118,Tovan,apologize,accepts_bounded_help,Tovan accepts bounded help; phrase=apologize; no generated open chat.,map safe route,v60:tovan:care_favor:d118:s12,care favor,True,True,True
2119,118,Nia,ask_debt,explains_debt,Nia explains debt; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:route_warning:d118:s13,route warning,True,True,True
2120,118,Ari,thank,declines_politely,Ari declines politely; phrase=thank; no generated open chat.,recover focus,v60:ari:tool_loan:d118:s14,tool loan,True,True,True
2121,118,Fay,request_space,names_current_task,Fay names current task; phrase=request_space; no generated open chat.,repair awning,v60:fay:water_carry:d118:s15,water carry,True,True,True
2122,118,Milo,greet,asks_for_space,Milo asks for space; phrase=greet; no generated open chat.,sort herbs,v60:milo:repair_promise:d118:s16,repair promise,True,True,True
2123,118,Sera,ask_schedule,thanks_briefly,Sera thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:missed_greeting:d118:s17,missed greeting,True,True,True
2124,119,Tovan,apologize,asks_for_space,Tovan asks for space; phrase=apologize; no generated open chat.,map safe route,v60:tovan:route_warning:d119:s00,route warning,True,True,True
2125,119,Nia,ask_debt,thanks_briefly,Nia thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:tool_loan:d119:s01,tool loan,True,True,True
2126,119,Ari,thank,greets_cautiously,Ari greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:ari:water_carry:d119:s02,water carry,True,True,True
2127,119,Fay,request_space,accepts_bounded_help,Fay accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:fay:repair_promise:d119:s03,repair promise,True,True,True
2128,119,Milo,greet,explains_debt,Milo explains debt; phrase=greet; no generated open chat.,sort herbs,v60:milo:missed_greeting:d119:s04,missed greeting,True,True,True
2129,119,Sera,ask_schedule,declines_politely,Sera declines politely; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:care_favor:d119:s05,care favor,True,True,True
2130,119,Tovan,offer_help,names_current_task,Tovan names current task; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:route_warning:d119:s06,route warning,True,True,True
2131,119,Nia,apologize,asks_for_space,Nia asks for space; phrase=apologize; no generated open chat.,map safe route,v60:nia:tool_loan:d119:s07,tool loan,True,True,True
2132,119,Ari,ask_debt,thanks_briefly,Ari thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:water_carry:d119:s08,water carry,True,True,True
2133,119,Fay,thank,greets_cautiously,Fay greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:fay:repair_promise:d119:s09,repair promise,True,True,True
2134,119,Milo,request_space,accepts_bounded_help,Milo accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:milo:missed_greeting:d119:s10,missed greeting,True,True,True
2135,119,Sera,greet,explains_debt,Sera explains debt; phrase=greet; no generated open chat.,sort herbs,v60:sera:care_favor:d119:s11,care favor,True,True,True
2136,119,Tovan,ask_schedule,declines_politely,Tovan declines politely; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:route_warning:d119:s12,route warning,True,True,True
2137,119,Nia,offer_help,names_current_task,Nia names current task; phrase=offer_help; no generated open chat.,dry cloaks,v60:nia:tool_loan:d119:s13,tool loan,True,True,True
2138,119,Ari,apologize,asks_for_space,Ari asks for space; phrase=apologize; no generated open chat.,map safe route,v60:ari:water_carry:d119:s14,water carry,True,True,True
2139,119,Fay,ask_debt,thanks_briefly,Fay thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:repair_promise:d119:s15,repair promise,True,True,True
2140,119,Milo,thank,greets_cautiously,Milo greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:milo:missed_greeting:d119:s16,missed greeting,True,True,True
2141,119,Sera,request_space,accepts_bounded_help,Sera accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:sera:care_favor:d119:s17,care favor,True,True,True
2142,120,Tovan,ask_schedule,greets_cautiously,Tovan greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:tool_loan:d120:s00,tool loan,True,True,True
2143,120,Nia,offer_help,accepts_bounded_help,Nia accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:nia:water_carry:d120:s01,water carry,True,True,True
2144,120,Ari,apologize,explains_debt,Ari explains debt; phrase=apologize; no generated open chat.,map safe route,v60:ari:repair_promise:d120:s02,repair promise,True,True,True
2145,120,Fay,ask_debt,declines_politely,Fay declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:missed_greeting:d120:s03,missed greeting,True,True,True
2146,120,Milo,thank,names_current_task,Milo names current task; phrase=thank; no generated open chat.,recover focus,v60:milo:care_favor:d120:s04,care favor,True,True,True
2147,120,Sera,request_space,asks_for_space,Sera asks for space; phrase=request_space; no generated open chat.,repair awning,v60:sera:route_warning:d120:s05,route warning,True,True,True
2148,120,Tovan,greet,thanks_briefly,Tovan thanks briefly; phrase=greet; no generated open chat.,sort herbs,v60:tovan:tool_loan:d120:s06,tool loan,True,True,True
2149,120,Nia,ask_schedule,greets_cautiously,Nia greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:water_carry:d120:s07,water carry,True,True,True
2150,120,Ari,offer_help,accepts_bounded_help,Ari accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:repair_promise:d120:s08,repair promise,True,True,True
2151,120,Fay,apologize,explains_debt,Fay explains debt; phrase=apologize; no generated open chat.,map safe route,v60:fay:missed_greeting:d120:s09,missed greeting,True,True,True
2152,120,Milo,ask_debt,declines_politely,Milo declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:care_favor:d120:s10,care favor,True,True,True
2153,120,Sera,thank,names_current_task,Sera names current task; phrase=thank; no generated open chat.,recover focus,v60:sera:route_warning:d120:s11,route warning,True,True,True
2154,120,Tovan,request_space,asks_for_space,Tovan asks for space; phrase=request_space; no generated open chat.,repair awning,v60:tovan:tool_loan:d120:s12,tool loan,True,True,True
2155,120,Nia,greet,thanks_briefly,Nia thanks briefly; phrase=greet; no generated open chat.,sort herbs,v60:nia:water_carry:d120:s13,water carry,True,True,True
2156,120,Ari,ask_schedule,greets_cautiously,Ari greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:repair_promise:d120:s14,repair promise,True,True,True
2157,120,Fay,offer_help,accepts_bounded_help,Fay accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:missed_greeting:d120:s15,missed greeting,True,True,True
2158,120,Milo,apologize,explains_debt,Milo explains debt; phrase=apologize; no generated open chat.,map safe route,v60:milo:care_favor:d120:s16,care favor,True,True,True
2159,120,Sera,ask_debt,declines_politely,Sera declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:route_warning:d120:s17,route warning,True,True,True
2160,121,Tovan,request_space,explains_debt,Tovan explains debt; phrase=request_space; no generated open chat.,repair awning,v60:tovan:water_carry:d121:s00,water carry,True,True,True
2161,121,Nia,greet,declines_politely,Nia declines politely; phrase=greet; no generated open chat.,sort herbs,v60:nia:repair_promise:d121:s01,repair promise,True,True,True
2162,121,Ari,ask_schedule,names_current_task,Ari names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:missed_greeting:d121:s02,missed greeting,True,True,True
2163,121,Fay,offer_help,asks_for_space,Fay asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:care_favor:d121:s03,care favor,True,True,True
2164,121,Milo,apologize,thanks_briefly,Milo thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:milo:route_warning:d121:s04,route warning,True,True,True
2165,121,Sera,ask_debt,greets_cautiously,Sera greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:tool_loan:d121:s05,tool loan,True,True,True
2166,121,Tovan,thank,accepts_bounded_help,Tovan accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:tovan:water_carry:d121:s06,water carry,True,True,True
2167,121,Nia,request_space,explains_debt,Nia explains debt; phrase=request_space; no generated open chat.,repair awning,v60:nia:repair_promise:d121:s07,repair promise,True,True,True
2168,121,Ari,greet,declines_politely,Ari declines politely; phrase=greet; no generated open chat.,sort herbs,v60:ari:missed_greeting:d121:s08,missed greeting,True,True,True
2169,121,Fay,ask_schedule,names_current_task,Fay names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:care_favor:d121:s09,care favor,True,True,True
2170,121,Milo,offer_help,asks_for_space,Milo asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:route_warning:d121:s10,route warning,True,True,True
2171,121,Sera,apologize,thanks_briefly,Sera thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:sera:tool_loan:d121:s11,tool loan,True,True,True
2172,121,Tovan,ask_debt,greets_cautiously,Tovan greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:water_carry:d121:s12,water carry,True,True,True
2173,121,Nia,thank,accepts_bounded_help,Nia accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:nia:repair_promise:d121:s13,repair promise,True,True,True
2174,121,Ari,request_space,explains_debt,Ari explains debt; phrase=request_space; no generated open chat.,repair awning,v60:ari:missed_greeting:d121:s14,missed greeting,True,True,True
2175,121,Fay,greet,declines_politely,Fay declines politely; phrase=greet; no generated open chat.,sort herbs,v60:fay:care_favor:d121:s15,care favor,True,True,True
2176,121,Milo,ask_schedule,names_current_task,Milo names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:route_warning:d121:s16,route warning,True,True,True
2177,121,Sera,offer_help,asks_for_space,Sera asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:tool_loan:d121:s17,tool loan,True,True,True
2178,122,Tovan,ask_debt,names_current_task,Tovan names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:repair_promise:d122:s00,repair promise,True,True,True
2179,122,Nia,thank,asks_for_space,Nia asks for space; phrase=thank; no generated open chat.,recover focus,v60:nia:missed_greeting:d122:s01,missed greeting,True,True,True
2180,122,Ari,request_space,thanks_briefly,Ari thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:ari:care_favor:d122:s02,care favor,True,True,True
2181,122,Fay,greet,greets_cautiously,Fay greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:fay:route_warning:d122:s03,route warning,True,True,True
2182,122,Milo,ask_schedule,accepts_bounded_help,Milo accepts bounded help; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:tool_loan:d122:s04,tool loan,True,True,True
2183,122,Sera,offer_help,explains_debt,Sera explains debt; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:water_carry:d122:s05,water carry,True,True,True
2184,122,Tovan,apologize,declines_politely,Tovan declines politely; phrase=apologize; no generated open chat.,map safe route,v60:tovan:repair_promise:d122:s06,repair promise,True,True,True
2185,122,Nia,ask_debt,names_current_task,Nia names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:missed_greeting:d122:s07,missed greeting,True,True,True
2186,122,Ari,thank,asks_for_space,Ari asks for space; phrase=thank; no generated open chat.,recover focus,v60:ari:care_favor:d122:s08,care favor,True,True,True
2187,122,Fay,request_space,thanks_briefly,Fay thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:fay:route_warning:d122:s09,route warning,True,True,True
2188,122,Milo,greet,greets_cautiously,Milo greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:milo:tool_loan:d122:s10,tool loan,True,True,True
2189,122,Sera,ask_schedule,accepts_bounded_help,Sera accepts bounded help; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:water_carry:d122:s11,water carry,True,True,True
2190,122,Tovan,offer_help,explains_debt,Tovan explains debt; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:repair_promise:d122:s12,repair promise,True,True,True
2191,122,Nia,apologize,declines_politely,Nia declines politely; phrase=apologize; no generated open chat.,map safe route,v60:nia:missed_greeting:d122:s13,missed greeting,True,True,True
2192,122,Ari,ask_debt,names_current_task,Ari names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:care_favor:d122:s14,care favor,True,True,True
2193,122,Fay,thank,asks_for_space,Fay asks for space; phrase=thank; no generated open chat.,recover focus,v60:fay:route_warning:d122:s15,route warning,True,True,True
2194,122,Milo,request_space,thanks_briefly,Milo thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:milo:tool_loan:d122:s16,tool loan,True,True,True
2195,122,Sera,greet,greets_cautiously,Sera greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:sera:water_carry:d122:s17,water carry,True,True,True
2196,123,Tovan,offer_help,thanks_briefly,Tovan thanks briefly; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:missed_greeting:d123:s00,missed greeting,True,True,True
2197,123,Nia,apologize,greets_cautiously,Nia greets cautiously; phrase=apologize; no generated open chat.,map safe route,v60:nia:care_favor:d123:s01,care favor,True,True,True
2198,123,Ari,ask_debt,accepts_bounded_help,Ari accepts bounded help; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:route_warning:d123:s02,route warning,True,True,True
2199,123,Fay,thank,explains_debt,Fay explains debt; phrase=thank; no generated open chat.,recover focus,v60:fay:tool_loan:d123:s03,tool loan,True,True,True
2200,123,Milo,request_space,declines_politely,Milo declines politely; phrase=request_space; no generated open chat.,repair awning,v60:milo:water_carry:d123:s04,water carry,True,True,True
2201,123,Sera,greet,names_current_task,Sera names current task; phrase=greet; no generated open chat.,sort herbs,v60:sera:repair_promise:d123:s05,repair promise,True,True,True
2202,123,Tovan,ask_schedule,asks_for_space,Tovan asks for space; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:missed_greeting:d123:s06,missed greeting,True,True,True
2203,123,Nia,offer_help,thanks_briefly,Nia thanks briefly; phrase=offer_help; no generated open chat.,dry cloaks,v60:nia:care_favor:d123:s07,care favor,True,True,True
2204,123,Ari,apologize,greets_cautiously,Ari greets cautiously; phrase=apologize; no generated open chat.,map safe route,v60:ari:route_warning:d123:s08,route warning,True,True,True
2205,123,Fay,ask_debt,accepts_bounded_help,Fay accepts bounded help; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:tool_loan:d123:s09,tool loan,True,True,True
2206,123,Milo,thank,explains_debt,Milo explains debt; phrase=thank; no generated open chat.,recover focus,v60:milo:water_carry:d123:s10,water carry,True,True,True
2207,123,Sera,request_space,declines_politely,Sera declines politely; phrase=request_space; no generated open chat.,repair awning,v60:sera:repair_promise:d123:s11,repair promise,True,True,True
2208,123,Tovan,greet,names_current_task,Tovan names current task; phrase=greet; no generated open chat.,sort herbs,v60:tovan:missed_greeting:d123:s12,missed greeting,True,True,True
2209,123,Nia,ask_schedule,asks_for_space,Nia asks for space; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:care_favor:d123:s13,care favor,True,True,True
2210,123,Ari,offer_help,thanks_briefly,Ari thanks briefly; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:route_warning:d123:s14,route warning,True,True,True
2211,123,Fay,apologize,greets_cautiously,Fay greets cautiously; phrase=apologize; no generated open chat.,map safe route,v60:fay:tool_loan:d123:s15,tool loan,True,True,True
2212,123,Milo,ask_debt,accepts_bounded_help,Milo accepts bounded help; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:water_carry:d123:s16,water carry,True,True,True
2213,123,Sera,thank,explains_debt,Sera explains debt; phrase=thank; no generated open chat.,recover focus,v60:sera:repair_promise:d123:s17,repair promise,True,True,True
2214,124,Tovan,greet,accepts_bounded_help,Tovan accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:tovan:care_favor:d124:s00,care favor,True,True,True
2215,124,Nia,ask_schedule,explains_debt,Nia explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:route_warning:d124:s01,route warning,True,True,True
2216,124,Ari,offer_help,declines_politely,Ari declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:tool_loan:d124:s02,tool loan,True,True,True
2217,124,Fay,apologize,names_current_task,Fay names current task; phrase=apologize; no generated open chat.,map safe route,v60:fay:water_carry:d124:s03,water carry,True,True,True
2218,124,Milo,ask_debt,asks_for_space,Milo asks for space; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:repair_promise:d124:s04,repair promise,True,True,True
2219,124,Sera,thank,thanks_briefly,Sera thanks briefly; phrase=thank; no generated open chat.,recover focus,v60:sera:missed_greeting:d124:s05,missed greeting,True,True,True
2220,124,Tovan,request_space,greets_cautiously,Tovan greets cautiously; phrase=request_space; no generated open chat.,repair awning,v60:tovan:care_favor:d124:s06,care favor,True,True,True
2221,124,Nia,greet,accepts_bounded_help,Nia accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:nia:route_warning:d124:s07,route warning,True,True,True
2222,124,Ari,ask_schedule,explains_debt,Ari explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:tool_loan:d124:s08,tool loan,True,True,True
2223,124,Fay,offer_help,declines_politely,Fay declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:water_carry:d124:s09,water carry,True,True,True
2224,124,Milo,apologize,names_current_task,Milo names current task; phrase=apologize; no generated open chat.,map safe route,v60:milo:repair_promise:d124:s10,repair promise,True,True,True
2225,124,Sera,ask_debt,asks_for_space,Sera asks for space; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:missed_greeting:d124:s11,missed greeting,True,True,True
2226,124,Tovan,thank,thanks_briefly,Tovan thanks briefly; phrase=thank; no generated open chat.,recover focus,v60:tovan:care_favor:d124:s12,care favor,True,True,True
2227,124,Nia,request_space,greets_cautiously,Nia greets cautiously; phrase=request_space; no generated open chat.,repair awning,v60:nia:route_warning:d124:s13,route warning,True,True,True
2228,124,Ari,greet,accepts_bounded_help,Ari accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:ari:tool_loan:d124:s14,tool loan,True,True,True
2229,124,Fay,ask_schedule,explains_debt,Fay explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:water_carry:d124:s15,water carry,True,True,True
2230,124,Milo,offer_help,declines_politely,Milo declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:repair_promise:d124:s16,repair promise,True,True,True
2231,124,Sera,apologize,names_current_task,Sera names current task; phrase=apologize; no generated open chat.,map safe route,v60:sera:missed_greeting:d124:s17,missed greeting,True,True,True
2232,125,Tovan,thank,declines_politely,Tovan declines politely; phrase=thank; no generated open chat.,recover focus,v60:tovan:route_warning:d125:s00,route warning,True,True,True
2233,125,Nia,request_space,names_current_task,Nia names current task; phrase=request_space; no generated open chat.,repair awning,v60:nia:tool_loan:d125:s01,tool loan,True,True,True
2234,125,Ari,greet,asks_for_space,Ari asks for space; phrase=greet; no generated open chat.,sort herbs,v60:ari:water_carry:d125:s02,water carry,True,True,True
2235,125,Fay,ask_schedule,thanks_briefly,Fay thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:repair_promise:d125:s03,repair promise,True,True,True
2236,125,Milo,offer_help,greets_cautiously,Milo greets cautiously; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:missed_greeting:d125:s04,missed greeting,True,True,True
2237,125,Sera,apologize,accepts_bounded_help,Sera accepts bounded help; phrase=apologize; no generated open chat.,map safe route,v60:sera:care_favor:d125:s05,care favor,True,True,True
2238,125,Tovan,ask_debt,explains_debt,Tovan explains debt; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:route_warning:d125:s06,route warning,True,True,True
2239,125,Nia,thank,declines_politely,Nia declines politely; phrase=thank; no generated open chat.,recover focus,v60:nia:tool_loan:d125:s07,tool loan,True,True,True
2240,125,Ari,request_space,names_current_task,Ari names current task; phrase=request_space; no generated open chat.,repair awning,v60:ari:water_carry:d125:s08,water carry,True,True,True
2241,125,Fay,greet,asks_for_space,Fay asks for space; phrase=greet; no generated open chat.,sort herbs,v60:fay:repair_promise:d125:s09,repair promise,True,True,True
2242,125,Milo,ask_schedule,thanks_briefly,Milo thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:missed_greeting:d125:s10,missed greeting,True,True,True
2243,125,Sera,offer_help,greets_cautiously,Sera greets cautiously; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:care_favor:d125:s11,care favor,True,True,True
2244,125,Tovan,apologize,accepts_bounded_help,Tovan accepts bounded help; phrase=apologize; no generated open chat.,map safe route,v60:tovan:route_warning:d125:s12,route warning,True,True,True
2245,125,Nia,ask_debt,explains_debt,Nia explains debt; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:tool_loan:d125:s13,tool loan,True,True,True
2246,125,Ari,thank,declines_politely,Ari declines politely; phrase=thank; no generated open chat.,recover focus,v60:ari:water_carry:d125:s14,water carry,True,True,True
2247,125,Fay,request_space,names_current_task,Fay names current task; phrase=request_space; no generated open chat.,repair awning,v60:fay:repair_promise:d125:s15,repair promise,True,True,True
2248,125,Milo,greet,asks_for_space,Milo asks for space; phrase=greet; no generated open chat.,sort herbs,v60:milo:missed_greeting:d125:s16,missed greeting,True,True,True
2249,125,Sera,ask_schedule,thanks_briefly,Sera thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:care_favor:d125:s17,care favor,True,True,True
2250,126,Tovan,apologize,asks_for_space,Tovan asks for space; phrase=apologize; no generated open chat.,map safe route,v60:tovan:tool_loan:d126:s00,tool loan,True,True,True
2251,126,Nia,ask_debt,thanks_briefly,Nia thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:water_carry:d126:s01,water carry,True,True,True
2252,126,Ari,thank,greets_cautiously,Ari greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:ari:repair_promise:d126:s02,repair promise,True,True,True
2253,126,Fay,request_space,accepts_bounded_help,Fay accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:fay:missed_greeting:d126:s03,missed greeting,True,True,True
2254,126,Milo,greet,explains_debt,Milo explains debt; phrase=greet; no generated open chat.,sort herbs,v60:milo:care_favor:d126:s04,care favor,True,True,True
2255,126,Sera,ask_schedule,declines_politely,Sera declines politely; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:route_warning:d126:s05,route warning,True,True,True
2256,126,Tovan,offer_help,names_current_task,Tovan names current task; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:tool_loan:d126:s06,tool loan,True,True,True
2257,126,Nia,apologize,asks_for_space,Nia asks for space; phrase=apologize; no generated open chat.,map safe route,v60:nia:water_carry:d126:s07,water carry,True,True,True
2258,126,Ari,ask_debt,thanks_briefly,Ari thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:repair_promise:d126:s08,repair promise,True,True,True
2259,126,Fay,thank,greets_cautiously,Fay greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:fay:missed_greeting:d126:s09,missed greeting,True,True,True
2260,126,Milo,request_space,accepts_bounded_help,Milo accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:milo:care_favor:d126:s10,care favor,True,True,True
2261,126,Sera,greet,explains_debt,Sera explains debt; phrase=greet; no generated open chat.,sort herbs,v60:sera:route_warning:d126:s11,route warning,True,True,True
2262,126,Tovan,ask_schedule,declines_politely,Tovan declines politely; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:tool_loan:d126:s12,tool loan,True,True,True
