generation,year,settlement_id,dialect_id,lexeme,meaning,grammatical_shift,loan_source,usage_count,inherited_lexeme,drift_rate,public_translation
60,1800,riverbend,riverbend-dialect-6,ari-lum-6,dry crossing / plank-listening,agent-object respect marker,riverbend,260,True,0.028,ari-lum-6: ask before crossing dry crossing
60,1800,roofward,roofward-dialect-6,fay-ther-6,herb preservation / sun-ledger,agent-object respect marker,roofward,263,True,0.032,fay-ther-6: ask before crossing herb preservation
60,1800,archive,archive-dialect-6,milo-nia-6,signal memory / spool-naming,agent-object respect marker,archive,266,True,0.036,milo-nia-6: ask before crossing signal memory
60,1800,signal,signal-dialect-6,juno-keth-6,path visibility / lantern-turning,agent-object respect marker,signal,269,True,0.04,juno-keth-6: ask before crossing path visibility
60,1800,orchard,orchard-dialect-6,saan-ivo-6,dry seed continuity / satchel-vow,agent-object respect marker,orchard,272,True,0.012,saan-ivo-6: ask before crossing dry seed continuity
60,1800,repair_ring,repair_ring-dialect-6,voro-pax-6,safe repair space / spark-distance,agent-object respect marker,repair_ring,275,True,0.016,voro-pax-6: ask before crossing safe repair space
61,1830,riverbend,riverbend-dialect-7,fay-keth-7,dry crossing / plank-listening,ownership suffix,roofward,264,True,0.032,fay-keth-7: ask before crossing dry crossing
61,1830,roofward,roofward-dialect-7,milo-ivo-7,herb preservation / sun-ledger,ownership suffix,archive,267,True,0.036,milo-ivo-7: ask before crossing herb preservation
61,1830,archive,archive-dialect-7,juno-pax-7,signal memory / spool-naming,ownership suffix,signal,270,True,0.04,juno-pax-7: ask before crossing signal memory
61,1830,signal,signal-dialect-7,saan-ari-7,path visibility / lantern-turning,ownership suffix,orchard,273,True,0.012,saan-ari-7: ask before crossing path visibility
61,1830,orchard,orchard-dialect-7,voro-fay-7,dry seed continuity / satchel-vow,ownership suffix,repair_ring,276,True,0.016,voro-fay-7: ask before crossing dry seed continuity
61,1830,repair_ring,repair_ring-dialect-7,lum-milo-7,safe repair space / spark-distance,ownership suffix,riverbend,279,True,0.02,lum-milo-7: ask before crossing safe repair space
62,1860,riverbend,riverbend-dialect-7,milo-ari-7,dry crossing / plank-listening,ownership suffix,roofward,268,True,0.036,milo-ari-7: ask before crossing dry crossing
62,1860,roofward,roofward-dialect-7,juno-fay-7,herb preservation / sun-ledger,ownership suffix,archive,271,True,0.04,juno-fay-7: ask before crossing herb preservation
62,1860,archive,archive-dialect-7,saan-milo-7,signal memory / spool-naming,ownership suffix,signal,274,True,0.012,saan-milo-7: ask before crossing signal memory
62,1860,signal,signal-dialect-7,voro-juno-7,path visibility / lantern-turning,ownership suffix,orchard,277,True,0.016,voro-juno-7: ask before crossing path visibility
62,1860,orchard,orchard-dialect-7,lum-saan-7,dry seed continuity / satchel-vow,ownership suffix,repair_ring,280,True,0.02,lum-saan-7: ask before crossing dry seed continuity
62,1860,repair_ring,repair_ring-dialect-7,ther-voro-7,safe repair space / spark-distance,ownership suffix,riverbend,283,True,0.024,ther-voro-7: ask before crossing safe repair space
63,1890,riverbend,riverbend-dialect-7,juno-juno-7,dry crossing / plank-listening,route tense,roofward,272,True,0.04,juno-juno-7: ask before crossing dry crossing
63,1890,roofward,roofward-dialect-7,saan-saan-7,herb preservation / sun-ledger,route tense,archive,275,True,0.012,saan-saan-7: ask before crossing herb preservation
63,1890,archive,archive-dialect-7,voro-voro-7,signal memory / spool-naming,route tense,signal,278,True,0.016,voro-voro-7: ask before crossing signal memory
63,1890,signal,signal-dialect-7,lum-lum-7,path visibility / lantern-turning,route tense,orchard,281,True,0.02,lum-lum-7: ask before crossing path visibility
63,1890,orchard,orchard-dialect-7,ther-ther-7,dry seed continuity / satchel-vow,route tense,repair_ring,284,True,0.024,ther-ther-7: ask before crossing dry seed continuity
63,1890,repair_ring,repair_ring-dialect-7,nia-nia-7,safe repair space / spark-distance,route tense,riverbend,287,True,0.028,nia-nia-7: ask before crossing safe repair space
64,1920,riverbend,riverbend-dialect-7,saan-lum-7,dry crossing / plank-listening,ownership suffix,roofward,276,True,0.012,saan-lum-7: ask before crossing dry crossing
64,1920,roofward,roofward-dialect-7,voro-ther-7,herb preservation / sun-ledger,ownership suffix,archive,279,True,0.016,voro-ther-7: ask before crossing herb preservation
64,1920,archive,archive-dialect-7,lum-nia-7,signal memory / spool-naming,ownership suffix,signal,282,True,0.02,lum-nia-7: ask before crossing signal memory
64,1920,signal,signal-dialect-7,ther-keth-7,path visibility / lantern-turning,ownership suffix,orchard,285,True,0.024,ther-keth-7: ask before crossing path visibility
64,1920,orchard,orchard-dialect-7,nia-ivo-7,dry seed continuity / satchel-vow,ownership suffix,repair_ring,288,True,0.028,nia-ivo-7: ask before crossing dry seed continuity
64,1920,repair_ring,repair_ring-dialect-7,keth-pax-7,safe repair space / spark-distance,ownership suffix,riverbend,291,True,0.032,keth-pax-7: ask before crossing safe repair space
65,1950,riverbend,riverbend-dialect-7,voro-keth-7,dry crossing / plank-listening,agent-object respect marker,roofward,280,True,0.016,voro-keth-7: ask before crossing dry crossing
65,1950,roofward,roofward-dialect-7,lum-ivo-7,herb preservation / sun-ledger,agent-object respect marker,archive,283,True,0.02,lum-ivo-7: ask before crossing herb preservation
65,1950,archive,archive-dialect-7,ther-pax-7,signal memory / spool-naming,agent-object respect marker,signal,286,True,0.024,ther-pax-7: ask before crossing signal memory
65,1950,signal,signal-dialect-7,nia-ari-7,path visibility / lantern-turning,agent-object respect marker,orchard,289,True,0.028,nia-ari-7: ask before crossing path visibility
65,1950,orchard,orchard-dialect-7,keth-fay-7,dry seed continuity / satchel-vow,agent-object respect marker,repair_ring,292,True,0.032,keth-fay-7: ask before crossing dry seed continuity
65,1950,repair_ring,repair_ring-dialect-7,ivo-milo-7,safe repair space / spark-distance,agent-object respect marker,riverbend,295,True,0.036,ivo-milo-7: ask before crossing safe repair space
66,1980,riverbend,riverbend-dialect-7,lum-ari-7,dry crossing / plank-listening,route tense,roofward,284,True,0.02,lum-ari-7: ask before crossing dry crossing
66,1980,roofward,roofward-dialect-7,ther-fay-7,herb preservation / sun-ledger,route tense,archive,287,True,0.024,ther-fay-7: ask before crossing herb preservation
66,1980,archive,archive-dialect-7,nia-milo-7,signal memory / spool-naming,route tense,signal,290,True,0.028,nia-milo-7: ask before crossing signal memory
66,1980,signal,signal-dialect-7,keth-juno-7,path visibility / lantern-turning,route tense,orchard,293,True,0.032,keth-juno-7: ask before crossing path visibility
66,1980,orchard,orchard-dialect-7,ivo-saan-7,dry seed continuity / satchel-vow,route tense,repair_ring,296,True,0.036,ivo-saan-7: ask before crossing dry seed continuity
66,1980,repair_ring,repair_ring-dialect-7,pax-voro-7,safe repair space / spark-distance,route tense,riverbend,299,True,0.04,pax-voro-7: ask before crossing safe repair space
67,2010,riverbend,riverbend-dialect-7,ther-juno-7,dry crossing / plank-listening,ownership suffix,roofward,288,True,0.024,ther-juno-7: ask before crossing dry crossing
67,2010,roofward,roofward-dialect-7,nia-saan-7,herb preservation / sun-ledger,ownership suffix,archive,291,True,0.028,nia-saan-7: ask before crossing herb preservation
67,2010,archive,archive-dialect-7,keth-voro-7,signal memory / spool-naming,ownership suffix,signal,294,True,0.032,keth-voro-7: ask before crossing signal memory
67,2010,signal,signal-dialect-7,ivo-lum-7,path visibility / lantern-turning,ownership suffix,orchard,297,True,0.036,ivo-lum-7: ask before crossing path visibility
67,2010,orchard,orchard-dialect-7,pax-ther-7,dry seed continuity / satchel-vow,ownership suffix,repair_ring,300,True,0.04,pax-ther-7: ask before crossing dry seed continuity
67,2010,repair_ring,repair_ring-dialect-7,ari-nia-7,safe repair space / spark-distance,ownership suffix,riverbend,303,True,0.012,ari-nia-7: ask before crossing safe repair space
68,2040,riverbend,riverbend-dialect-7,nia-lum-7,dry crossing / plank-listening,ownership suffix,roofward,292,True,0.028,nia-lum-7: ask before crossing dry crossing
68,2040,roofward,roofward-dialect-7,keth-ther-7,herb preservation / sun-ledger,ownership suffix,archive,295,True,0.032,keth-ther-7: ask before crossing herb preservation
68,2040,archive,archive-dialect-7,ivo-nia-7,signal memory / spool-naming,ownership suffix,signal,298,True,0.036,ivo-nia-7: ask before crossing signal memory
68,2040,signal,signal-dialect-7,pax-keth-7,path visibility / lantern-turning,ownership suffix,orchard,301,True,0.04,pax-keth-7: ask before crossing path visibility
68,2040,orchard,orchard-dialect-7,ari-ivo-7,dry seed continuity / satchel-vow,ownership suffix,repair_ring,304,True,0.012,ari-ivo-7: ask before crossing dry seed continuity
68,2040,repair_ring,repair_ring-dialect-7,fay-pax-7,safe repair space / spark-distance,ownership suffix,riverbend,307,True,0.016,fay-pax-7: ask before crossing safe repair space
69,2070,riverbend,riverbend-dialect-7,keth-keth-7,dry crossing / plank-listening,route tense,roofward,296,True,0.032,keth-keth-7: ask before crossing dry crossing
69,2070,roofward,roofward-dialect-7,ivo-ivo-7,herb preservation / sun-ledger,route tense,archive,299,True,0.036,ivo-ivo-7: ask before crossing herb preservation
69,2070,archive,archive-dialect-7,pax-pax-7,signal memory / spool-naming,route tense,signal,302,True,0.04,pax-pax-7: ask before crossing signal memory
69,2070,signal,signal-dialect-7,ari-ari-7,path visibility / lantern-turning,route tense,orchard,305,True,0.012,ari-ari-7: ask before crossing path visibility
69,2070,orchard,orchard-dialect-7,fay-fay-7,dry seed continuity / satchel-vow,route tense,repair_ring,308,True,0.016,fay-fay-7: ask before crossing dry seed continuity
69,2070,repair_ring,repair_ring-dialect-7,milo-milo-7,safe repair space / spark-distance,route tense,riverbend,311,True,0.02,milo-milo-7: ask before crossing safe repair space
70,2100,riverbend,riverbend-dialect-7,ivo-ari-7,dry crossing / plank-listening,agent-object respect marker,roofward,300,True,0.036,ivo-ari-7: ask before crossing dry crossing
70,2100,roofward,roofward-dialect-7,pax-fay-7,herb preservation / sun-ledger,agent-object respect marker,archive,303,True,0.04,pax-fay-7: ask before crossing herb preservation
70,2100,archive,archive-dialect-7,ari-milo-7,signal memory / spool-naming,agent-object respect marker,signal,306,True,0.012,ari-milo-7: ask before crossing signal memory
70,2100,signal,signal-dialect-7,fay-juno-7,path visibility / lantern-turning,agent-object respect marker,orchard,309,True,0.016,fay-juno-7: ask before crossing path visibility
70,2100,orchard,orchard-dialect-7,milo-saan-7,dry seed continuity / satchel-vow,agent-object respect marker,repair_ring,312,True,0.02,milo-saan-7: ask before crossing dry seed continuity
70,2100,repair_ring,repair_ring-dialect-7,juno-voro-7,safe repair space / spark-distance,agent-object respect marker,riverbend,315,True,0.024,juno-voro-7: ask before crossing safe repair space
71,2130,riverbend,riverbend-dialect-8,pax-juno-8,dry crossing / plank-listening,ownership suffix,archive,304,True,0.04,pax-juno-8: ask before crossing dry crossing
71,2130,roofward,roofward-dialect-8,ari-saan-8,herb preservation / sun-ledger,ownership suffix,signal,307,True,0.012,ari-saan-8: ask before crossing herb preservation
71,2130,archive,archive-dialect-8,fay-voro-8,signal memory / spool-naming,ownership suffix,orchard,310,True,0.016,fay-voro-8: ask before crossing signal memory
71,2130,signal,signal-dialect-8,milo-lum-8,path visibility / lantern-turning,ownership suffix,repair_ring,313,True,0.02,milo-lum-8: ask before crossing path visibility
71,2130,orchard,orchard-dialect-8,juno-ther-8,dry seed continuity / satchel-vow,ownership suffix,riverbend,316,True,0.024,juno-ther-8: ask before crossing dry seed continuity
71,2130,repair_ring,repair_ring-dialect-8,saan-nia-8,safe repair space / spark-distance,ownership suffix,roofward,319,True,0.028,saan-nia-8: ask before crossing safe repair space
72,2160,riverbend,riverbend-dialect-8,ari-lum-8,dry crossing / plank-listening,route tense,archive,308,True,0.012,ari-lum-8: ask before crossing dry crossing
72,2160,roofward,roofward-dialect-8,fay-ther-8,herb preservation / sun-ledger,route tense,signal,311,True,0.016,fay-ther-8: ask before crossing herb preservation
72,2160,archive,archive-dialect-8,milo-nia-8,signal memory / spool-naming,route tense,orchard,314,True,0.02,milo-nia-8: ask before crossing signal memory
72,2160,signal,signal-dialect-8,juno-keth-8,path visibility / lantern-turning,route tense,repair_ring,317,True,0.024,juno-keth-8: ask before crossing path visibility
72,2160,orchard,orchard-dialect-8,saan-ivo-8,dry seed continuity / satchel-vow,route tense,riverbend,320,True,0.028,saan-ivo-8: ask before crossing dry seed continuity
72,2160,repair_ring,repair_ring-dialect-8,voro-pax-8,safe repair space / spark-distance,route tense,roofward,323,True,0.032,voro-pax-8: ask before crossing safe repair space
73,2190,riverbend,riverbend-dialect-8,fay-keth-8,dry crossing / plank-listening,ownership suffix,archive,312,True,0.016,fay-keth-8: ask before crossing dry crossing
73,2190,roofward,roofward-dialect-8,milo-ivo-8,herb preservation / sun-ledger,ownership suffix,signal,315,True,0.02,milo-ivo-8: ask before crossing herb preservation
73,2190,archive,archive-dialect-8,juno-pax-8,signal memory / spool-naming,ownership suffix,orchard,318,True,0.024,juno-pax-8: ask before crossing signal memory
73,2190,signal,signal-dialect-8,saan-ari-8,path visibility / lantern-turning,ownership suffix,repair_ring,321,True,0.028,saan-ari-8: ask before crossing path visibility
73,2190,orchard,orchard-dialect-8,voro-fay-8,dry seed continuity / satchel-vow,ownership suffix,riverbend,324,True,0.032,voro-fay-8: ask before crossing dry seed continuity
73,2190,repair_ring,repair_ring-dialect-8,lum-milo-8,safe repair space / spark-distance,ownership suffix,roofward,327,True,0.036,lum-milo-8: ask before crossing safe repair space
74,2220,riverbend,riverbend-dialect-8,milo-ari-8,dry crossing / plank-listening,ownership suffix,archive,316,True,0.02,milo-ari-8: ask before crossing dry crossing
74,2220,roofward,roofward-dialect-8,juno-fay-8,herb preservation / sun-ledger,ownership suffix,signal,319,True,0.024,juno-fay-8: ask before crossing herb preservation
74,2220,archive,archive-dialect-8,saan-milo-8,signal memory / spool-naming,ownership suffix,orchard,322,True,0.028,saan-milo-8: ask before crossing signal memory
74,2220,signal,signal-dialect-8,voro-juno-8,path visibility / lantern-turning,ownership suffix,repair_ring,325,True,0.032,voro-juno-8: ask before crossing path visibility
74,2220,orchard,orchard-dialect-8,lum-saan-8,dry seed continuity / satchel-vow,ownership suffix,riverbend,328,True,0.036,lum-saan-8: ask before crossing dry seed continuity
74,2220,repair_ring,repair_ring-dialect-8,ther-voro-8,safe repair space / spark-distance,ownership suffix,roofward,331,True,0.04,ther-voro-8: ask before crossing safe repair space
75,2250,riverbend,riverbend-dialect-8,juno-juno-8,dry crossing / plank-listening,agent-object respect marker,archive,320,True,0.024,juno-juno-8: ask before crossing dry crossing
75,2250,roofward,roofward-dialect-8,saan-saan-8,herb preservation / sun-ledger,agent-object respect marker,signal,323,True,0.028,saan-saan-8: ask before crossing herb preservation
75,2250,archive,archive-dialect-8,voro-voro-8,signal memory / spool-naming,agent-object respect marker,orchard,326,True,0.032,voro-voro-8: ask before crossing signal memory
75,2250,signal,signal-dialect-8,lum-lum-8,path visibility / lantern-turning,agent-object respect marker,repair_ring,329,True,0.036,lum-lum-8: ask before crossing path visibility
75,2250,orchard,orchard-dialect-8,ther-ther-8,dry seed continuity / satchel-vow,agent-object respect marker,riverbend,332,True,0.04,ther-ther-8: ask before crossing dry seed continuity
75,2250,repair_ring,repair_ring-dialect-8,nia-nia-8,safe repair space / spark-distance,agent-object respect marker,roofward,335,True,0.012,nia-nia-8: ask before crossing safe repair space
76,2280,riverbend,riverbend-dialect-8,saan-lum-8,dry crossing / plank-listening,ownership suffix,archive,324,True,0.028,saan-lum-8: ask before crossing dry crossing
76,2280,roofward,roofward-dialect-8,voro-ther-8,herb preservation / sun-ledger,ownership suffix,signal,327,True,0.032,voro-ther-8: ask before crossing herb preservation
76,2280,archive,archive-dialect-8,lum-nia-8,signal memory / spool-naming,ownership suffix,orchard,330,True,0.036,lum-nia-8: ask before crossing signal memory
76,2280,signal,signal-dialect-8,ther-keth-8,path visibility / lantern-turning,ownership suffix,repair_ring,333,True,0.04,ther-keth-8: ask before crossing path visibility
76,2280,orchard,orchard-dialect-8,nia-ivo-8,dry seed continuity / satchel-vow,ownership suffix,riverbend,336,True,0.012,nia-ivo-8: ask before crossing dry seed continuity
76,2280,repair_ring,repair_ring-dialect-8,keth-pax-8,safe repair space / spark-distance,ownership suffix,roofward,339,True,0.016,keth-pax-8: ask before crossing safe repair space
77,2310,riverbend,riverbend-dialect-8,voro-keth-8,dry crossing / plank-listening,ownership suffix,archive,328,True,0.032,voro-keth-8: ask before crossing dry crossing
77,2310,roofward,roofward-dialect-8,lum-ivo-8,herb preservation / sun-ledger,ownership suffix,signal,331,True,0.036,lum-ivo-8: ask before crossing herb preservation
77,2310,archive,archive-dialect-8,ther-pax-8,signal memory / spool-naming,ownership suffix,orchard,334,True,0.04,ther-pax-8: ask before crossing signal memory
77,2310,signal,signal-dialect-8,nia-ari-8,path visibility / lantern-turning,ownership suffix,repair_ring,337,True,0.012,nia-ari-8: ask before crossing path visibility
77,2310,orchard,orchard-dialect-8,keth-fay-8,dry seed continuity / satchel-vow,ownership suffix,riverbend,340,True,0.016,keth-fay-8: ask before crossing dry seed continuity
77,2310,repair_ring,repair_ring-dialect-8,ivo-milo-8,safe repair space / spark-distance,ownership suffix,roofward,343,True,0.02,ivo-milo-8: ask before crossing safe repair space
78,2340,riverbend,riverbend-dialect-8,lum-ari-8,dry crossing / plank-listening,route tense,archive,332,True,0.036,lum-ari-8: ask before crossing dry crossing
78,2340,roofward,roofward-dialect-8,ther-fay-8,herb preservation / sun-ledger,route tense,signal,335,True,0.04,ther-fay-8: ask before crossing herb preservation
78,2340,archive,archive-dialect-8,nia-milo-8,signal memory / spool-naming,route tense,orchard,338,True,0.012,nia-milo-8: ask before crossing signal memory
78,2340,signal,signal-dialect-8,keth-juno-8,path visibility / lantern-turning,route tense,repair_ring,341,True,0.016,keth-juno-8: ask before crossing path visibility
78,2340,orchard,orchard-dialect-8,ivo-saan-8,dry seed continuity / satchel-vow,route tense,riverbend,344,True,0.02,ivo-saan-8: ask before crossing dry seed continuity
78,2340,repair_ring,repair_ring-dialect-8,pax-voro-8,safe repair space / spark-distance,route tense,roofward,347,True,0.024,pax-voro-8: ask before crossing safe repair space
79,2370,riverbend,riverbend-dialect-8,ther-juno-8,dry crossing / plank-listening,ownership suffix,archive,336,True,0.04,ther-juno-8: ask before crossing dry crossing
79,2370,roofward,roofward-dialect-8,nia-saan-8,herb preservation / sun-ledger,ownership suffix,signal,339,True,0.012,nia-saan-8: ask before crossing herb preservation
79,2370,archive,archive-dialect-8,keth-voro-8,signal memory / spool-naming,ownership suffix,orchard,342,True,0.016,keth-voro-8: ask before crossing signal memory
79,2370,signal,signal-dialect-8,ivo-lum-8,path visibility / lantern-turning,ownership suffix,repair_ring,345,True,0.02,ivo-lum-8: ask before crossing path visibility
79,2370,orchard,orchard-dialect-8,pax-ther-8,dry seed continuity / satchel-vow,ownership suffix,riverbend,348,True,0.024,pax-ther-8: ask before crossing dry seed continuity
79,2370,repair_ring,repair_ring-dialect-8,ari-nia-8,safe repair space / spark-distance,ownership suffix,roofward,351,True,0.028,ari-nia-8: ask before crossing safe repair space
80,2400,riverbend,riverbend-dialect-8,nia-lum-8,dry crossing / plank-listening,agent-object respect marker,archive,340,True,0.012,nia-lum-8: ask before crossing dry crossing
80,2400,roofward,roofward-dialect-8,keth-ther-8,herb preservation / sun-ledger,agent-object respect marker,signal,343,True,0.016,keth-ther-8: ask before crossing herb preservation
80,2400,archive,archive-dialect-8,ivo-nia-8,signal memory / spool-naming,agent-object respect marker,orchard,346,True,0.02,ivo-nia-8: ask before crossing signal memory
80,2400,signal,signal-dialect-8,pax-keth-8,path visibility / lantern-turning,agent-object respect marker,repair_ring,349,True,0.024,pax-keth-8: ask before crossing path visibility
80,2400,orchard,orchard-dialect-8,ari-ivo-8,dry seed continuity / satchel-vow,agent-object respect marker,riverbend,352,True,0.028,ari-ivo-8: ask before crossing dry seed continuity
80,2400,repair_ring,repair_ring-dialect-8,fay-pax-8,safe repair space / spark-distance,agent-object respect marker,roofward,355,True,0.032,fay-pax-8: ask before crossing safe repair space
